definition,see_also,change,text_change,examples,code_2020,title_2020,code_2010,title_2010
Instructional content is defined in code 14.2401,None available,No Substantive Changes,None available,None available,14.24,Ocean Engineering.,14.24,Ocean Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems to monitor, control, manipulate and operate within coastal or ocean environments, such as underwater platforms, flood control systems, dikes, hydroelectric power systems, tide and current control and warning systems, and communications equipment; the planning and design of total systems for working and functioning in water or underwater environments; and the analysis of related engineering problems such as the action of water properties and behavior on physical systems and people, tidal forces, current movements, and wave motion",None available,No Substantive Changes,None available,None available,14.2401,Ocean Engineering.,14.2401,Ocean Engineering.
Instructional content is defined in code 14.2501,None available,No Substantive Changes,None available,None available,14.25,Petroleum Engineering.,14.25,Petroleum Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems for locating, extracting, processing and refining crude petroleum and natural gas, including prospecting instruments and equipment, mining and drilling systems, processing and refining systems and facilities, storage facilities, transportation systems, and related environmental and safety systems",None available,No Substantive Changes,None available,None available,14.2501,Petroleum Engineering.,14.2501,Petroleum Engineering.
Instructional content is defined in code 14.2701,None available,No Substantive Changes,None available,None available,14.27,Systems Engineering.,14.27,Systems Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of total systems solutions to a wide variety of engineering problems, including the integration of human, physical, energy, communications, management, and information requirements as needed, and the application of requisite analytical methods to specific situations","11.0501) Computer Systems Analysis/Analyst., 30.0601) Systems Science and Theory.",No Substantive Changes,None available,[Product Development Engineering]:::::[Logistics Engineering]:::::[Systems Engineering Management]:::::[Capability-Based Systems]:::::[Decision Engineering]:::::[Dynamical Systems],14.2701,Systems Engineering.,14.2701,Systems Engineering.
Instructional content is defined in code 14.2801. These CIP codes are not valid for IPEDS reporting,None available,No Substantive Changes,None available,None available,14.28,Textile Sciences and Engineering.,14.28,Textile Sciences and Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of systems to test and manufacture fibers and fiber products, both synthetic and natural; to develop new and improved fibers, textiles and their uses; and to the analysis of related engineering problems such as structural factors, molecular synthesis, chemical manufacturing, weaves, strength and stress, useful life, dyes, and applications to composite systems",19.0904) Textile Science.,No Substantive Changes,None available,None available,14.2801,Textile Sciences and Engineering.,14.2801,Textile Sciences and Engineering.
Instructional content is defined in code 14.3201,None available,No Substantive Changes,None available,None available,14.32,Polymer/Plastics Engineering.,14.32,Polymer/Plastics Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of synthesized macromolecular compounds and their application to specific engineering uses, including the development of industrial materials with tailored properties, the design of lightweight structural components, the use of liquid or solid polymers, and the analysis and control of polymerization processes",40.0507) Polymer Chemistry.,No Substantive Changes,None available,None available,14.3201,Polymer/Plastics Engineering.,14.3201,Polymer/Plastics Engineering.
Instructional content is defined in code 14.3301,None available,No Substantive Changes,None available,None available,14.33,Construction Engineering.,14.33,Construction Engineering.
"A program that prepares individuals to apply scientific, mathematical, and management principles to the planning, design, and building of facilities and structures.  Includes instruction in civil engineering, structural principles, site analysis, computer-assisted design, geology, evaluation and testing, materials, contracting, project management, graphic communications, and applicable laws and regulations",None available,No Substantive Changes,None available,[Construction Engineering and Management],14.3301,Construction Engineering.,14.3301,Construction Engineering.
Instructional content is defined in code 14.3401,None available,No Substantive Changes,None available,None available,14.34,Forest Engineering.,14.34,Forest Engineering.
"A program that prepares individuals to apply scientific, mathematical, and forestry principles to the design of mechanical devices and processes for efficient forest management, timber production and related forest logistics systems.  Includes instruction in forest products processing, forest management, forest harvesting, timber structure design, production analysis, road and bridge construction, vehicle adaptation and design, and harvesting equipment design","03.0501) Forestry, General.",No Substantive Changes,None available,None available,14.3401,Forest Engineering.,14.3401,Forest Engineering.
Instructional content is defined in code 14.3501,None available,No Substantive Changes,None available,None available,14.35,Industrial Engineering.,14.35,Industrial Engineering.
"A program that prepares individuals to apply scientific and mathematical principles to the design, improvement, and installation of integrated systems of people, material, information, and energy.  Includes instruction in applied mathematics, physical sciences, the social sciences, engineering analysis, systems design, computer applications, and forecasting and evaluation methodology",None available,No Substantive Changes,None available,[Ergonomics Engineering]:::::[Human Factors Engineering],14.3501,Industrial Engineering.,14.3501,Industrial Engineering.
Instructional content is defined in code 14.3601,None available,No Substantive Changes,None available,None available,14.36,Manufacturing Engineering.,14.36,Manufacturing Engineering.
"A program that prepares individuals to apply scientific and mathematical principles to the design, development, and implementation of manufacturing systems.  Includes instruction in materials science and engineering, manufacturing processes, process engineering, assembly and product engineering, manufacturing systems design, and manufacturing competitiveness",None available,No Substantive Changes,None available,None available,14.3601,Manufacturing Engineering.,14.3601,Manufacturing Engineering.
Instructional content is defined in code 14.3701,None available,No Substantive Changes,None available,None available,14.37,Operations Research.,14.37,Operations Research.
"A program that focuses on the development and application of complex mathematical or simulation models to solve problems involving operational systems, where the system concerned is subject to human intervention.  Includes instruction in advanced multivariate analysis, application of judgment and statistical tests, optimization theory and techniques, resource allocation theory, mathematical modeling, control theory, statistical analysis, and applications to specific research problems",None available,No Substantive Changes,None available,[Decision Support Systems]:::::[Decision Analysis]:::::[Operations Analysis]:::::[Operational Sciences],14.3701,Operations Research.,14.3701,Operations Research.
Instructional content is defined in code 14.3801,None available,No Substantive Changes,None available,None available,14.38,Surveying Engineering.,14.38,Surveying Engineering.
"A program that prepares individuals to apply scientific and mathematical principles to the determination of the location, elevations, and alignment of natural and manmade topographic features.  Includes instruction in property line location, surveying, surface measurement, aerial and terrestrial photogrammetry, remote sensing, satellite imagery, global positioning systems, computer applications, and photographic data processing",None available,No Substantive Changes,None available,None available,14.3801,Surveying Engineering.,14.3801,Surveying Engineering.
Instructional content is defined in code 14.3901,None available,No Substantive Changes,None available,None available,14.39,Geological/Geophysical Engineering.,14.39,Geological/Geophysical Engineering.
"A program that prepares individuals to apply mathematical and geological principles to the analysis and evaluation of engineering problems, including the geological evaluation of construction sites, the analysis of geological forces acting on structures and systems, the analysis of potential natural resource recovery sites, and applied research on geological phenomena","40.0601) Geology/Earth Science, General.",No Substantive Changes,None available,None available,14.3901,Geological/Geophysical Engineering.,14.3901,Geological/Geophysical Engineering.
Instructional content is defined in code 14.4001,None available,No Substantive Changes,None available,None available,14.40,Paper Science and Engineering.,14.40,Paper Science and Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the design, development, and manufacturing of pulp and paper products. Includes instruction in pulp and paper science, pulping and bleaching processes, paper structure and processes, pulp and paper manufacturing, coating technology, surface and colloid science, and fibers",03.0509) Wood Science and Wood Products/Pulp and Paper Technology.,No Substantive Changes,None available,[Paper Science]:::::[Paper Science Engineering]:::::[Pulp and Paper Science]:::::[Wood and Paper Science],14.4001,Paper Science and Engineering.,14.4001,Paper Science and Engineering.
Instructional content is defined in code 14.4101,None available,No Substantive Changes,None available,None available,14.41,Electromechanical Engineering.,14.41,Electromechanical Engineering.
"A program that prepares individuals to apply scientific and mathematical principles to the problems associated with combining electrical and mechanical components with special emphasis on manufacturing and automated processes. Includes instruction in applied mechanics, instrumentation and monitoring, machine design, automated control techniques, fluid and thermal dynamics, circuit analysis, and solid state electronics",None available,No Substantive Changes,None available,None available,14.4101,Electromechanical Engineering.,14.4101,Electromechanical Engineering.
Instructional content is defined in code 14.4201,None available,No Substantive Changes,None available,None available,14.42,"Mechatronics, Robotics, and Automation Engineering.",14.42,"Mechatronics, Robotics, and Automation Engineering."
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of computer controlled electro-mechanical systems and products with embedded electronics, sensors, and actuators; and which includes, but is not limited to, automata, robots and automation systems. Includes instruction in mechanical engineering, electronic and electrical engineering, computer and software engineering, and control engineering",11.0102) Artificial Intelligence.,No Substantive Changes,None available,None available,14.4201,"Mechatronics, Robotics, and Automation Engineering.",14.4201,"Mechatronics, Robotics, and Automation Engineering."
Instructional content is defined in code 14.4301,None available,No Substantive Changes,None available,None available,14.43,Biochemical Engineering.,14.43,Biochemical Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the study of biochemical processes in living organisms, properties of biological materials, and processes using biochemical agents such as cells, enzymes, and antibodies. Includes instruction in biology, chemistry, physics, biochemistry, thermodynamics, fluid dynamics, bioprocesses, and chemical engineering",None available,No Substantive Changes,None available,[Biochemical Engineering]:::::[Chemical and Biochemical Engineering],14.4301,Biochemical Engineering.,14.4301,Biochemical Engineering.
Instructional content is defined in code 14.4401,None available,No Substantive Changes,None available,None available,14.44,Engineering Chemistry.,14.44,Engineering Chemistry.
"A program that focuses on the general application of chemical principles to the analysis and evaluation of engineering problems, such as development of electronic materials, solid-state science and technology, polymers, ceramics, and biomaterials. Includes instruction in physical chemistry, organic chemistry, materials science, chemical processes and systems, chemical reaction engineering, biochemical engineering, engineering mathematics, classical and modern physics, and computer science",None available,No Substantive Changes,None available,None available,14.4401,Engineering Chemistry.,14.4401,Engineering Chemistry.
Instructional content is defined in code 14.4501,None available,No Substantive Changes,None available,None available,14.45,Biological/Biosystems Engineering.,14.45,Biological/Biosystems Engineering.
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and management of biological systems; and includes applications to biology, biochemistry, ecology, and microbiology. Includes instruction in organic chemistry; microbiology; biochemistry; chemical, biological, biochemical, and process engineering; thermodynamics; process control; kinetics and reactor design; electric circuits; biosystem modeling; and bioelectronics and instrumentation",None available,No Substantive Changes,None available,[Biological Engineering]:::::[Biosystems Engineering]:::::[Biological Systems Engineering]:::::[Biomass Engineering]:::::[Biological/Biosystems Engineering],14.4501,Biological/Biosystems Engineering.,14.4501,Biological/Biosystems Engineering.
Instructional content is defined in code 14.4701,None available,New,None available,None available,14.47,Electrical and Computer Engineering.,,
"A program that prepares individuals to apply mathematical and scientific principles to the design and development of computer systems. Includes instruction in computer architecture, cybersecurity, electronic circuits, electromagnetism, electronic materials and design, micro-fabrication methods and techniques, signal and image processing, and wireless communication networks",None available,New,None available,None available,14.4701,Electrical and Computer Engineering.,,
Instructional content for this group of programs is defined in codes 14.4801 - 14.4899,None available,New,None available,None available,14.48,Energy Systems Engineering.,,
"A program that prepares individuals to apply mathematical and scientific principles to the design, development and operational evaluation of energy generation, storage, conversion, and distribution systems. Includes instruction in conventional and alternative/renewable energy systems, electrical power systems, and electrical system design","03.0210) Bioenergy., 15.1701) Energy Management and Systems Technology/Technician.",New,None available,[Sustainable/Renewable Energy Engineering],14.4801,"Energy Systems Engineering, General.",,
"A program that prepares individuals to plan electrical systems and modify existing electrical systems that generate and use large amounts of electricity required for distribution networks that are economical, safe, and functional. Includes instruction in alternative/renewable energy systems; calculus; circuit analysis; electrical power systems and industry practices; electrical system design; microprocessor architecture; motor control systems; power electronics operation, planning and protection; programmable logic controllers; and project management",15.1702) Power Plant Technology/Technician.,New,None available,None available,14.4802,Power Plant Engineering.,,
Any instructional program in energy systems engineering not listed above,None available,New,None available,None available,14.4899,"Energy Systems Engineering, Other.",,
Instructional content is defined in code 14.9999,None available,No Substantive Changes,None available,None available,14.99,"Engineering, Other.",14.99,"Engineering, Other."
Any instructional program in engineering not listed above,None available,No Substantive Changes,None available,None available,14.9999,"Engineering, Other.",14.9999,"Engineering, Other."
Instructional programs that prepare individuals to apply basic engineering principles and technical skills in support of engineering and related projects or to prepare for engineering-related fields,None available,No Substantive Changes,None available,None available,15,ENGINEERING/ENGINEERING-RELATED TECHNOLOGIES/TECHNICIANS.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED FIELDS.
Instructional content is defined in code 15.0000,None available,No Substantive Changes,None available,None available,15.00,"Engineering Technologies/Technicians, General.",15.00,"Engineering Technology, General."
"A program that generally prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in a wide variety of projects. Includes instruction in various engineering support functions for research, production, and operations, and applications to specific engineering specialties",None available,No Substantive Changes,None available,None available,15.0000,"Engineering Technologies/Technicians, General.",15.0000,"Engineering Technology, General."
"A program that generally prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in the management and design of systems, execution of new product designs, improvement of manufacturing processes, and the management and direction of the physical or technical functions of an organization. Includes instruction in basic engineering principles, project management, industrial processes, production and operations management, systems integration and control, quality control, and statistics",None available,New,None available,[Applied Engineering],15.0001,Applied Engineering Technologies/Technicians.,,
Instructional content is defined in code 15.0101,None available,No Substantive Changes,None available,None available,15.01,Architectural Engineering Technologies/Technicians.,15.01,Architectural Engineering Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of architects, engineers and planners engaged in designing and developing buildings, urban complexes, and related systems.  Includes instruction in design testing procedures, building site analysis, model building and computer graphics, engineering drawing, structural systems testing, analysis of prototype mechanical and interior systems, test equipment operation and maintenance, and report preparation",None available,No Substantive Changes,None available,None available,15.0101,Architectural Engineering Technologies/Technicians.,15.0101,Architectural Engineering Technology/Technician.
Instructional content is defined in code 15.0201,None available,No Substantive Changes,None available,None available,15.02,Civil Engineering Technologies/Technicians.,15.02,Civil Engineering Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of civil engineers engaged in designing and executing public works projects such as highways, dams, bridges, tunnels and other facilities.  Includes instruction in site analysis, structural testing procedures, field and laboratory testing procedures, plan and specification preparation, test equipment operation and maintenance, and report preparation",None available,No Substantive Changes,None available,None available,15.0201,Civil Engineering Technologies/Technicians.,15.0201,Civil Engineering Technology/Technician.
Instructional content for this group of programs is defined in codes 15.0303 - 15.0399,None available,No Substantive Changes,None available,None available,15.03,Electrical/Electronic Engineering Technologies/Technicians.,15.03,Electrical Engineering Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of electrical, electronics and communication engineers.  Includes instruction in electrical circuitry, prototype development and testing, systems analysis and testing, systems maintenance, instrument calibration, and report preparation",46.0302) Electrician.,No Substantive Changes,None available,[Electronics Technician]:::::[Consumer Product Electronics Technician],15.0303,"Electrical, Electronic, and Communications Engineering Technology/Technician.",15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician."
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using lasers and other optical for commercial or research purposes.  Includes instruction in laser and optical principles, testing and maintenance procedures, safety precautions, specific applications to various tasks, and report preparation",None available,No Substantive Changes,None available,[Photonics Engineering Technology],15.0304,Laser and Optical Technology/Technician.,15.0304,Laser and Optical Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills to help design and implement telecommunications systems.  Includes instruction in communications protocol, data networking, digital compression algorithms, digital signal processing, Internet access, object-oriented and relational databases, and programming languages",None available,No Substantive Changes,None available,[Wireless Communications Technician]:::::[Telecommunications Engineering Technology/Technician],15.0305,Telecommunications Technology/Technician.,15.0305,Telecommunications Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills to design circuits in microelectronics. Includes instruction in circuit design, circuit layout, circuit analysis, computer-aided drafting, and semi-conductor technologies",None available,No Substantive Changes,None available,[Integrated Circuit Design]:::::[Integrated Circuit Design and Layout]:::::[Microcircuit Mask Design],15.0306,Integrated Circuit Design Technology/Technician.,15.0306,Integrated Circuit Design.
"A program of study that prepares individuals to apply mathematical and scientific principles to the mixing, recording, and production of music. Includes instruction in acoustics, audio mixing, audio production, audio recording, computer composition of music, music theory, digital devices, and sound technology",None available,New,None available,None available,15.0307,Audio Engineering Technology/Technician.,,
Any instructional program in electrical and electronic engineering-related technologies not listed above,None available,No Substantive Changes,None available,[Microelectronics Technology],15.0399,"Electrical/Electronic Engineering Technologies/Technicians, Other.",15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other."
Instructional content for this group of programs is defined in codes 15.0401- 15.0499,None available,No Substantive Changes,None available,None available,15.04,Electromechanical Technologies/Technicians.,15.04,Electromechanical Instrumentation and Maintenance Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing biological or medical systems and products.  Includes instruction in instrument calibration, design and installation testing, system safety and maintenance procedures, procurement and installation procedures, and report preparation",None available,No Substantive Changes,None available,[Bioengineering Technology],15.0401,Biomedical Technology/Technician.,15.0401,Biomedical Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing and testing automated, servomechanical, and other electromechanical systems.  Includes instruction in prototype testing, manufacturing and operational testing, systems analysis and maintenance procedures, and report preparation",None available,No Substantive Changes,None available,None available,15.0403,Electromechanical/Electromechanical Engineering Technology/Technician.,15.0403,Electromechanical Technology/Electromechanical Engineering Technology.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing control and measurement systems and procedures.  Includes instruction in instrumentation design and maintenance, calibration, design and production testing and scheduling, automated equipment functions, applications to specific industrial tasks, and report preparation",None available,No Substantive Changes,None available,[Industrial Instrument Mechanic]:::::[Instrumentation and Control Technician],15.0404,Instrumentation Technology/Technician.,15.0404,Instrumentation Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using robots.  Includes instruction in the principles of robotics, design and operational testing, system maintenance and repair procedures, robot computer systems and control language, specific system types and applications to specific industrial tasks, and report preparation",None available,No Substantive Changes,None available,None available,15.0405,Robotics Technology/Technician.,15.0405,Robotics Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, installing, calibrating, modifying and maintaining automated systems. Includes instruction in computer systems; electronics and instrumentation; programmable logic controllers (PLCs); electric, hydraulic and pneumatic control systems; actuator and sensor systems; process control; robotics; applications to specific industrial tasks; and report preparation",None available,No Substantive Changes,None available,None available,15.0406,Automation Engineer Technology/Technician.,15.0406,Automation Engineer Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in the support of engineers to the design, development, and operational evaluation of autonomous, computer-controlled, electro-mechanical systems. Includes instruction in computer and software engineering, control engineering, electronic and electrical engineering, mechanical engineering, and robotics","14.4201) Mechatronics, Robotics, and Automation Engineering.",New,None available,None available,15.0407,"Mechatronics, Robotics, and Automation Engineering Technology/Technician.",,
Any instructional program in electromechanical technologies not listed above,None available,No Substantive Changes,None available,None available,15.0499,"Electromechanical Technologies/Technicians, Other.",15.0499,"Electromechanical and Instrumentation and Maintenance Technologies/Technicians, Other."
Instructional content for this group of programs is defined in codes 15.0501- 15.0599,None available,No Substantive Changes,None available,None available,15.05,Environmental Control Technologies/Technicians.,15.05,Environmental Control Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using air conditioning, refrigeration, ventilation, and heating systems. Includes instruction in principles of heating and cooling technology, design and operational testing, inspection and maintenance procedures, installation and operation procedures, and report preparation","47.0201) Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician.",No Substantive Changes,None available,"[Air Conditioning and Heating (ACH)]:::::[Air Conditioning and Refrigeration (ACR)]:::::[Air Conditioning, Heating and Refrigeration (ACHR)]:::::[Heating, Refrigeration and Air Conditioning (HRAC)]:::::[Heating,  Ventilation, and Air Conditioning (HVAC)]:::::[Heating, Ventilation, Air Conditioning and Refrigeration (HVAC/R)]:::::[Air Conditioning Technology]",15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician.",15.0501,"Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician."
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using water storage, waterpower, and wastewater treatment systems.  Includes instruction in water storage, power and/or treatment systems and equipment; testing and inspection procedures; system maintenance procedures; and report preparation",None available,No Substantive Changes,None available,None available,15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.,15.0506,Water Quality and Wastewater Treatment Management and Recycling Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using indoor and outdoor environmental pollution control systems.  Includes instruction in environmental safety principles, testing and sampling procedures, laboratory techniques, instrumentation calibration, safety and protection procedures, equipment maintenance, and report preparation",None available,No Substantive Changes,None available,None available,15.0507,Environmental/Environmental Engineering Technology/Technician.,15.0507,Environmental Engineering Technology/Environmental Technology.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in identifying and disposing of hazardous materials.  Includes instruction in environmental safety principles, biohazard identification, testing and sampling procedures, laboratory techniques, instrumentation calibration, hazardous waste disposal procedures and systems, safety and protection procedures, equipment maintenance, and report preparation",None available,No Substantive Changes,None available,None available,15.0508,Hazardous Materials Management and Waste Technology/Technician.,15.0508,Hazardous Materials Management and Waste Technology/Technician.
Any instructional program in environmental control technologies not listed above,None available,No Substantive Changes,None available,None available,15.0599,"Environmental Control Technologies/Technicians, Other.",15.0599,"Environmental Control Technologies/Technicians, Other."
Instructional content for this group of programs is defined in codes 15.0607- 15.0699,None available,No Substantive Changes,None available,None available,15.06,Industrial Production Technologies/Technicians.,15.06,Industrial Production Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing and using industrial polymers.  Includes instruction in the principles of macromolecular chemistry, polymerization and plastic manufacturing processes and equipment, design and operational testing procedures, equipment maintenance and repair procedures, safety procedures, applications to specific products, and report preparation",None available,No Substantive Changes,None available,None available,15.0607,Plastics and Polymer Engineering Technology/Technician.,15.0607,Plastics and Polymer Engineering Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and metallurgists engaged in developing and using industrial metals and manufacturing processes.  Includes instruction in principles of metallurgy, related manufacturing systems, laboratory techniques, testing and inspection procedures, instrument calibration, system and equipment maintenance and repair, applications to specific processes, and report preparation",None available,No Substantive Changes,None available,None available,15.0611,Metallurgical Technology/Technician.,15.0611,Metallurgical Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of industrial engineers and managers.  Includes instruction in optimization theory, human factors, organizational behavior, industrial processes, industrial planning procedures, computer applications, and report and presentation  preparation",None available,No Substantive Changes,None available,None available,15.0612,Industrial Technology/Technician.,15.0612,Industrial Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills to the identification and resolution of production problems in the manufacture of products.  Includes instruction in machine operations, production line operations, engineering analysis, systems analysis, instrumentation, physical controls, automation, computer-aided manufacturing (CAM), manufacturing planning, quality control, and informational infrastructure",None available,No Substantive Changes,None available,None available,15.0613,Manufacturing Engineering Technology/Technician.,15.0613,Manufacturing Engineering Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills to the design and engineering of welding and joining systems and the implementation of welding processes.  Includes instruction in materials science; computer-aided design; welding design; welding processes; welding metallurgy; automation and robotics; and codes, inspections, testing, and quality assurance",48.0508) Welding Technology/Welder.,No Substantive Changes,None available,None available,15.0614,Welding Engineering Technology/Technician.,15.0614,Welding Engineering Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the production and utilization of chemicals on an industrial scale. Includes instruction in organic chemistry, inorganic chemistry, analytical chemistry, biochemistry, thermodynamics, fluid mechanics, industrial processes, instrumental analysis, sampling and monitoring, and chemical and environmental safety",None available,No Substantive Changes,None available,None available,15.0615,Chemical Engineering Technology/Technician.,15.0615,Chemical Engineering Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills to operate and monitor equipment for the fabrication of semiconductors or microchips from silicon wafers, and to troubleshoot, maintain, and repair the specialized equipment used in this process. Includes instruction in AC and DC circuits, digital fundamentals, solid state devices, manufacturing processes, vacuum principles and technology, industrial electronics, quality assurance, and semiconductor manufacturing technology",None available,No Substantive Changes,None available,None available,15.0616,Semiconductor Manufacturing Technology/Technician.,15.0616,Semiconductor Manufacturing Technology.
"A program of study that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in the development, manufacture, and use of composite materials in aircraft technology, automotive technology, boats, medical prostheses, and wind turbines. Includes instruction in computer-aided design and drafting, composite materials and processes, composite maintenance, composite manufacturing, composite repair, material science, and mold manufacturing and production",None available,New,None available,None available,15.0617,Composite Materials Technology/Technician.,,
Any instructional program in industrial production technologies not listed above,None available,No Substantive Changes,None available,None available,15.0699,"Industrial Production Technologies/Technicians, Other.",15.0699,"Industrial Production Technologies/Technicians, Other."
Instructional content for this group of programs is defined in codes 15.0701- 15.0799,None available,No Substantive Changes,None available,None available,15.07,Quality Control and Safety Technologies/Technicians.,15.07,Quality Control and Safety Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in maintaining job-related health and safety standards.  Includes instruction in safety engineering principles, inspection and monitoring procedures, testing and sampling procedures, laboratory techniques, applications to specific work environments, and report preparation",None available,No Substantive Changes,None available,None available,15.0701,Occupational Safety and Health Technology/Technician.,15.0701,Occupational Safety and Health Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in maintaining consistent manufacturing and construction standards.  Includes instruction in quality control systems management principles, technical standards applicable to specific engineering and manufacturing projects, testing procedures, inspection procedures, related instrumentation and equipment operation and maintenance, and report preparation",None available,No Substantive Changes,None available,None available,15.0702,Quality Control Technology/Technician.,15.0702,Quality Control Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills to assist engineers and other professionals in implementing and enforcing industrial safety standards to mitigate damage, reduce risks, and prevent accidents. Includes instruction in industrial processes, industrial hygiene, injury prevention, toxicology, ergonomics, risk analysis, system and process safety, safety performance measurement, human factors, human behavior, and applicable law and regulations",None available,No Substantive Changes,None available,None available,15.0703,Industrial Safety Technology/Technician.,15.0703,Industrial Safety Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills to assist engineers and other professionals in implementing, monitoring, and enforcing hazardous materials management and removal.  Includes instruction in environmental science, environmental health, human behavior, economics, management science, information systems and applications, and communication skills",None available,No Substantive Changes,None available,None available,15.0704,Hazardous Materials Information Systems Technology/Technician.,15.0704,Hazardous Materials Information Systems Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers engaged in developing methods to mitigate damage, reduce risks, and prevent accidents. Includes instruction in design for injury prevention, engineering for process safety, environmental psychology, function-based risk analysis, fundamentals of industrial engineering, operations research, probability and statistics, risk assessment and reduction, and safety engineering",None available,New,None available,None available,15.0705,Process Safety Technology/Technician.,,
Any instructional program in quality control and safety technologies not listed above,None available,No Substantive Changes,None available,[Non-Destructive Testing Technology],15.0799,"Quality Control and Safety Technologies/Technicians, Other.",15.0799,"Quality Control and Safety Technologies/Technicians, Other."
Instructional content for this group of programs is defined in codes 15.0801- 15.0899,None available,No Substantive Changes,None available,None available,15.08,Mechanical Engineering Related Technologies/Technicians.,15.08,Mechanical Engineering Related Technologies/Technicians.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, manufacturing and testing aircraft, spacecraft and their systems.  Includes instruction in aircraft/spacecraft systems technology, design and development testing, prototype and operational testing, inspection and maintenance procedures, instrument calibration, test equipment operation and maintenance, and report preparation",47.0609) Avionics Maintenance Technology/Technician.,No Substantive Changes,None available,None available,15.0801,Aeronautical/Aerospace Engineering Technology/Technician.,15.0801,Aeronautical/Aerospace Engineering Technology/Technician.
"A program that prepares individuals to apply basic engineering principles and technical skills in support of engineers and other professionals engaged in developing, manufacturing and testing self-propelled ground vehicles and their systems.  Includes instruction in vehicular systems technology, design and development testing, prototype and operational testing, inspection and maintenance procedures, instrument calibration, test equipment operation and maintenance, and report preparation",47.0604) Automobile/Automotive Mechanics Technology/Technician.,No Substantive Changes,None available,None available,15.0803,Automotive Engineering Technology/Technician.,15.0803,Automotive Engineering Technology/Technician.
